55346.9212   9.88e-11  1.05e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55347.9081   5.09e-11  1.47e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55349.9012   4.96e-11  1.07e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55350.9017   2.29e-11  8.83e-12  0.2-1TeV    MAGIC       ph/cm^2/s^1
55351.9161   4.40e-11  6.80e-12  0.2-1TeV    MAGIC       ph/cm^2/s^1
55352.9016   5.85e-11  1.25e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55353.9032   5.93e-11  1.31e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55354.9099   3.12e-11  1.06e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55355.9032   7.39e-11  1.30e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55356.9189   4.73e-11  6.79e-12  0.2-1TeV    MAGIC       ph/cm^2/s^1
55357.8953   6.95e-11  2.32e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55358.9041   3.64e-11  1.03e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55359.9054   3.09e-11  1.09e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55360.9240   3.51e-11  1.06e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55362.9123   4.73e-11  1.10e-11  0.2-1TeV    MAGIC       ph/cm^2/s^1
55149.2479   3.61e-11  4.03e-12  >1TeV       MAGIC       ph/cm^2/s^1
55152.2404   1.51e-11  8.60e-12  >1TeV       MAGIC       ph/cm^2/s^1
55154.2679   9.48e-12  3.32e-12  >1TeV       MAGIC       ph/cm^2/s^1
55155.2645   1.44e-11  3.61e-12  >1TeV       MAGIC       ph/cm^2/s^1
55157.2696   2.16e-11  4.80e-12  >1TeV       MAGIC       ph/cm^2/s^1
55160.2736   2.84e-11  7.70e-12  >1TeV       MAGIC       ph/cm^2/s^1
55162.2746   1.15e-11  5.05e-12  >1TeV       MAGIC       ph/cm^2/s^1
55163.2760   1.17e-11  5.65e-12  >1TeV       MAGIC       ph/cm^2/s^1
55164.2767   1.07e-11  5.79e-12  >1TeV       MAGIC       ph/cm^2/s^1
55165.2767   1.55e-11  6.09e-12  >1TeV       MAGIC       ph/cm^2/s^1
55193.1839   3.91e-11  1.44e-11  >1TeV       MAGIC       ph/cm^2/s^1
55204.1404   4.68e-11  5.45e-12  >1TeV       MAGIC       ph/cm^2/s^1
55207.1642   4.42e-11  3.74e-12  >1TeV       MAGIC       ph/cm^2/s^1
55208.1489   2.58e-11  6.40e-12  >1TeV       MAGIC       ph/cm^2/s^1
55209.2094   2.73e-11  4.48e-12  >1TeV       MAGIC       ph/cm^2/s^1
55210.2154   6.69e-11  3.95e-12  >1TeV       MAGIC       ph/cm^2/s^1
55211.1946   5.06e-11  4.19e-12  >1TeV       MAGIC       ph/cm^2/s^1
55212.2113   2.00e-11  4.71e-12  >1TeV       MAGIC       ph/cm^2/s^1
55214.1942   9.44e-12  2.88e-12  >1TeV       MAGIC       ph/cm^2/s^1
55215.1929   4.00e-11  5.68e-12  >1TeV       MAGIC       ph/cm^2/s^1
55216.1900   6.50e-11  3.42e-12  >1TeV       MAGIC       ph/cm^2/s^1
55217.1951   3.41e-11  5.30e-12  >1TeV       MAGIC       ph/cm^2/s^1
55218.2882   2.17e-11  6.35e-12  >1TeV       MAGIC       ph/cm^2/s^1
55219.1979   1.73e-11  3.70e-12  >1TeV       MAGIC       ph/cm^2/s^1
55220.1820   3.55e-11  5.10e-12  >1TeV       MAGIC       ph/cm^2/s^1
55221.2030   3.59e-11  3.00e-12  >1TeV       MAGIC       ph/cm^2/s^1
