# %ECSV 0.9
# ---
# delimiter: ','
# datatype:
# - {name: srcname   , unit: latex   , datatype: string    , description: Source name                                          }
# - {name: t         , unit: mjd     , datatype: float32 , description: Time of measurement                                  }
# - {name: t_wlo     , unit: d    , datatype: float32 , description: Lower width of time bin                                 }
# - {name: t_wup     , unit: d    , datatype: float32 , description: Upper width of time bin                                 }
# - {name: t_exp     , unit: s    , datatype: float32 , description: Exposure time                                           }
# - {name: flux     , unit: cm-2 s-1, datatype: float32 , description: Flux measured above the energy threshold              }
# - {name: flux_elo , unit: cm-2 s-1, datatype: float32 , description: Lower uncertainty of flux                             }
# - {name: flux_eup , unit: cm-2 s-1, datatype: float32 , description: Upper uncertainty of flux                             }
# - {name: eth_lo      , unit: keV,      datatype: float32 , description: Assumed lower energy threshold for integral flux calculation}
# - {name: eth_up      , unit: keV,      datatype: float32 , description: Assumed upper energy threshold for integral flux calculation}
# - {name: instrument, unit: latex   , datatype: string    , description: Instrument                                           }
# - {name: dataformat, unit: latex   , datatype: string    , description: Data Format                                          }
# - {name: comments  , unit: latex   , datatype: string    , description: Comments                                             }
# meta: !!omap
# - {Filename: magic_template_lc.ecsv}
# - {Source: "VER 0521+211"}
# - {Figure: "Figure 1, long term MWL light curve, panel 3"}
# - {Title: "Time-dependent modelling of short-term variability in the TeV-blazar VER J0521+211 during the major flare in 2020"}
# - {Comments: ""}
# - {Reference: "magic_2025a.yaml"}
# - {Status: "Checked"}

srcname, t, t_wlo, t_wup, t_exp, flux, flux_elo, flux_eup, eth_lo, eth_up, instrument, dataformat, comments
VER 0521+211, 56585.46531, , , 1530.8, 1.47E-11, 1.07E-12, 1.07E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56585.46531, , , 1530.8, 2.30E-11, 1.09E-12, 1.09E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56586.00492, , , 1421, 1.98E-11, 1.88E-12, 1.88E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56586.00492, , , 1421, 3.37E-11, 2.04E-12, 2.04E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56590.75633, , , 1286.1, 1.78E-11, 1.67E-12, 1.67E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56590.75633, , , 1286.1, 3.19E-11, 1.88E-12, 1.88E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56591.42404, , , 137.4, 2.53E-11, 5.89E-12, 5.89E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56591.42404, , , 137.4, 3.76E-11, 6.36E-12, 6.36E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56592.22177, , , 1341.1, 1.32E-11, 1.21E-12, 1.21E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56592.22177, , , 1341.1, 2.15E-11, 1.34E-12, 1.34E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56621.23112, , , 2100.2, 5.55E-12, 7.48E-13, 7.48E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56621.23112, , , 2100.2, 1.14E-11, 8.46E-13, 8.46E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56622.23249, , , 2050.3, 1.04E-11, 8.09E-13, 8.09E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56622.23249, , , 2050.3, 2.07E-11, 8.66E-13, 8.66E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56623.29991, , , 1980.3, 7.02E-12, 8.45E-13, 8.45E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56623.29991, , , 1980.3, 1.35E-11, 8.72E-13, 8.72E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56624.30182, , , 2070.3, 7.01E-12, 6.57E-13, 6.57E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56624.30182, , , 2070.3, 1.33E-11, 6.85E-13, 6.85E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56625.30303, , , 1982.8, 9.68E-12, 6.92E-13, 6.92E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56625.30303, , , 1982.8, 1.66E-11, 7.97E-13, 7.97E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56626.30408, , , 1640.7, 1.04E-11, 1.09E-12, 1.09E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56626.30408, , , 1640.7, 2.10E-11, 1.09E-12, 1.09E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56627.37192, , , 1825.5, 6.44E-12, 8.25E-13, 8.25E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56627.37192, , , 1825.5, 1.16E-11, 7.78E-13, 7.78E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56628.30596, , , 1960.4, 8.16E-12, 7.23E-13, 7.23E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56628.30596, , , 1960.4, 1.47E-11, 8.54E-13, 8.54E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56629.30766, , , 1900.4, 1.65E-11, 1.50E-12, 1.50E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56629.30766, , , 1900.4, 3.01E-11, 1.40E-12, 1.40E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56650.19609, , , 1453.4, 4.78E-12, 8.55E-13, 8.55E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56650.19609, , , 1453.4, 8.87E-12, 8.67E-13, 8.67E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56651.19267, , , 1520.8, 8.98E-12, 8.92E-13, 8.92E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56651.19267, , , 1520.8, 1.55E-11, 9.37E-13, 9.37E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56652.19689, , , 1403.5, 8.94E-12, 7.68E-13, 7.68E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56652.19689, , , 1403.5, 1.54E-11, 8.14E-13, 8.14E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56654.19481, , , 1505.9, 8.91E-12, 9.21E-13, 9.21E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56654.19481, , , 1505.9, 1.62E-11, 9.00E-13, 9.00E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56655.20371, , , 1363.5, 5.60E-12, 7.00E-13, 7.00E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56655.20371, , , 1363.5, 8.93E-12, 6.96E-13, 6.96E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56656.19267, , , 1393.5, 4.97E-12, 6.21E-13, 6.21E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56656.19267, , , 1393.5, 1.10E-11, 6.76E-13, 6.76E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56657.19517, , , 1473.4, 3.60E-12, 5.67E-13, 5.67E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56657.19517, , , 1473.4, 8.48E-12, 6.90E-13, 6.90E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56658.19483, , , 1500.9, 1.05E-11, 9.45E-13, 9.45E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56658.19483, , , 1500.9, 1.82E-11, 9.18E-13, 9.18E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56673.60583, , , 859.1, 1.01E-11, 1.83E-12, 1.83E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56673.60583, , , 859.1, 1.71E-11, 1.74E-12, 1.74E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56925.4425, , , 988.9, 5.12E-12, 2.64E-12, 2.64E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56925.4425, , , 988.9, 6.59E-12, 2.30E-12, 2.30E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56931.43964, , , 1191.2, 2.51E-12, 8.14E-13, 8.14E-13, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56931.43964, , , 1191.2, 3.85E-12, 7.54E-13, 7.54E-13, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56962.41688, , , 1101.3, 7.73E-12, 2.01E-12, 2.01E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56962.41688, , , 1101.3, 1.02E-11, 2.15E-12, 2.15E-12, 0.3, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
VER 0521+211, 56984.26132, , , 1048.9, 1.66E-11, 1.87E-12, 1.87E-12, 2, 10, Swift-XRT, , Swift-XRT data taken from ref https://doi.org/10.1051/0004-6361/202037811
