# %ECSV 0.9
# ---
# delimiter: ','
# datatype:
# - {name: srcname   , unit: latex   , datatype: string    , description: Source name                                          }
# - {name: t         , unit: mjd     , datatype: float32 , description: Time of measurement                                  }
# - {name: t_wlo     , unit: d    , datatype: float32 , description: Lower width of time bin                                 }
# - {name: t_wup     , unit: d    , datatype: float32 , description: Upper width of time bin                                 }
# - {name: t_exp     , unit: h    , datatype: float32 , description: Exposure time                                           }
# - {name: flux     , unit: cm-2 s-1, datatype: float32 , description: Flux measured above the energy threshold              }
# - {name: flux_elo , unit: cm-2 s-1, datatype: float32 , description: Lower uncertainty of flux                             }
# - {name: flux_eup , unit: cm-2 s-1, datatype: float32 , description: Upper uncertainty of flux                             }
# - {name: eth_lo      , unit: GeV,      datatype: float32 , description: Assumed lower energy threshold for integral flux calculation}
# - {name: eth_up      , unit: GeV,      datatype: float32 , description: Assumed upper energy threshold for integral flux calculation}
# - {name: instrument, unit: latex   , datatype: string    , description: Instrument                                           }
# - {name: dataformat, unit: latex   , datatype: string    , description: Data Format                                          }
# - {name: comments  , unit: latex   , datatype: string    , description: Comments                                             }
# meta: !!omap
# - {Filename: magic_template_lc.ecsv}
# - {Source: "VER 0521+211"}
# - {Figure: "Figure 1, long term MWL light curve, panel 2"}
# - {Title: "Time-dependent modelling of short-term variability in the TeV-blazar VER J0521+211 during the major flare in 2020"}
# - {Comments: ""}
# - {Reference: "magic_2025a.yaml"}
# - {Status: "Checked"}

srcname, t, t_wlo, t_wup, t_exp, flux, flux_elo, flux_eup, eth_lo, eth_up, instrument, dataformat, comments
VER 0521+211, 55224.5, , , , 7.19E-08, 2.32E-08, 2.32E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55231.5, , , , 6.09E-08, 2.24E-08, 2.24E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55238.5, , , , 4.85E-08, 1.97E-08, 1.97E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55252.5, , , , 5.01E-08, 2.51E-08, 2.51E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55261.5, , , , 4.28E-08, 2.03E-08, 2.03E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55268.5, , , , 9.78E-08, 2.89E-08, 2.89E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55275.5, , , , 5.13E-08, 1.89E-08, 1.89E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55282.5, , , , 5.44E-08, 2.13E-08, 2.13E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55289.5, , , , 7.88E-08, 2.24E-08, 2.24E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
VER 0521+211, 55296.5, , , , 9.22E-08, 2.68E-08, 2.68E-08, 0.1, 300, Fermi-LAT, , Data have been acquired from the Fermi-LAT light curve repository https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/
